model,rep,method,alpha,penalize_diag,target,lambda,edges,F1,MCC,TP,TN,FP,FN,KL,L2,SP,PRAUC,ROCAUC
7,1,glasso,0.2,TRUE,None,0.4466835921509635,197,0.6172344689378757,NA,154,4605,43,148,99.48024887615776,53.098451356044066,13.85867175466836,0.684080256749726,0.7517617774788844
7,1,glasso,0.35,TRUE,None,0.4466835921509635,197,0.6172344689378757,NA,154,4605,43,148,99.48024887615776,53.098451356044066,13.85867175466836,0.684080256749726,0.7517617774788844
7,1,glasso,0.5,TRUE,None,0.4466835921509635,197,0.6172344689378757,NA,154,4605,43,148,99.48024887615776,53.098451356044066,13.85867175466836,0.684080256749726,0.7517617774788844
7,1,glasso,0.65,TRUE,None,0.4466835921509635,197,0.6172344689378757,NA,154,4605,43,148,99.48024887615776,53.098451356044066,13.85867175466836,0.684080256749726,0.7517617774788844
7,1,glasso,0.8,TRUE,None,0.4466835921509635,197,0.6172344689378757,NA,154,4605,43,148,99.48024887615776,53.098451356044066,13.85867175466836,0.684080256749726,0.7517617774788844
7,1,glasso,0.2,TRUE,Identity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.35,TRUE,Identity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.5,TRUE,Identity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.65,TRUE,Identity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.8,TRUE,Identity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
7,1,glasso,0.2,TRUE,vIdentity,0.4466835921509635,192,0.6194331983805668,NA,153,4609,39,149,75.76758204840206,50.44839427167415,13.515899349553344,0.6903770355862078,0.7504534457603356
